Age,Gender,Period,Unemployed,State
16 to 19 years,Men,2008-05-01,91000,Chennai
20 to 24 years,Men,2008-05-01,174000,Chennai
25 to 34 years,Men,2008-05-01,180000,Chennai
35 to 44 years,Men,2008-05-01,143000,Chennai
45 to 54 years,Men,2008-05-01,183000,Chennai
55 to 64 years,Men,2008-05-01,94000,Chennai
65 years and over,Men,2008-05-01,27000,Chennai
16 to 19 years,Women,2008-05-01,69000,Chennai
20 to 24 years,Women,2008-05-01,61000,Chennai
25 to 34 years,Women,2008-05-01,148000,Chennai
35 to 44 years,Women,2008-05-01,118000,Chennai
45 to 54 years,Women,2008-05-01,183000,Chennai
55 to 64 years,Women,2008-05-01,76000,Chennai
65 years and over,Women,2008-05-01,67000,Chennai
16 to 19 years,Men,2008-06-01,80000,Chennai
20 to 24 years,Men,2008-06-01,160000,Chennai
25 to 34 years,Men,2008-06-01,210000,Chennai
35 to 44 years,Men,2008-06-01,158000,Chennai
45 to 54 years,Men,2008-06-01,173000,Chennai
55 to 64 years,Men,2008-06-01,99000,Chennai
65 years and over,Men,2008-06-01,25000,Chennai
16 to 19 years,Women,2008-06-01,51000,Chennai
20 to 24 years,Women,2008-06-01,71000,Goa
25 to 34 years,Women,2008-06-01,132000,Chennai
35 to 44 years,Women,2008-06-01,118000,Chennai
45 to 54 years,Women,2008-06-01,168000,Chennai
55 to 64 years,Women,2008-06-01,66000,Chennai
65 years and over,Women,2008-06-01,99000,Chennai
16 to 19 years,Men,2008-07-01,74000,Chennai
20 to 24 years,Men,2008-07-01,151000,Chennai
25 to 34 years,Men,2008-07-01,193000,Chennai
35 to 44 years,Men,2008-07-01,201000,Chennai
45 to 54 years,Men,2008-07-01,196000,Chennai
55 to 64 years,Men,2008-07-01,70000,Chennai
65 years and over,Men,2008-07-01,37000,Goa
16 to 19 years,Women,2008-07-01,48000,Chennai
20 to 24 years,Women,2008-07-01,85000,Chennai
25 to 34 years,Women,2008-07-01,163000,Chennai
35 to 44 years,Women,2008-07-01,147000,Chennai
45 to 54 years,Women,2008-07-01,197000,Chennai
55 to 64 years,Women,2008-07-01,78000,Chennai
65 years and over,Women,2008-07-01,133000,Chennai
16 to 19 years,Men,2008-08-01,78000,Chennai
20 to 24 years,Men,2008-08-01,138000,Chennai
25 to 34 years,Men,2008-08-01,222000,Chennai
35 to 44 years,Men,2008-08-01,208000,Chennai
45 to 54 years,Men,2008-08-01,206000,Chennai
55 to 64 years,Men,2008-08-01,103000,Chennai
65 years and over,Men,2008-08-01,50000,Chennai
16 to 19 years,Women,2008-08-01,62000,Chennai
20 to 24 years,Women,2008-08-01,101000,Chennai
25 to 34 years,Women,2008-08-01,204000,Chennai
35 to 44 years,Women,2008-08-01,166000,Chennai
45 to 54 years,Women,2008-08-01,209000,Chennai
55 to 64 years,Women,2008-08-01,99000,Chennai
65 years and over,Women,2008-08-01,149000,Chennai
16 to 19 years,Men,2008-09-01,75000,Goa
20 to 24 years,Men,2008-09-01,169000,Goa
25 to 34 years,Men,2008-09-01,249000,Goa
35 to 44 years,Men,2008-09-01,235000,Goa
45 to 54 years,Men,2008-09-01,212000,Goa
55 to 64 years,Men,2008-09-01,126000,Goa
65 years and over,Men,2008-09-01,46000,Goa
16 to 19 years,Women,2008-09-01,69000,Goa
20 to 24 years,Women,2008-09-01,141000,Goa
25 to 34 years,Women,2008-09-01,177000,Goa
35 to 44 years,Women,2008-09-01,146000,Goa
45 to 54 years,Women,2008-09-01,231000,Goa
55 to 64 years,Women,2008-09-01,112000,Goa
65 years and over,Women,2008-09-01,125000,Goa
16 to 19 years,Men,2008-10-01,114000,Goa
20 to 24 years,Men,2008-10-01,176000,Goa
25 to 34 years,Men,2008-10-01,281000,Goa
35 to 44 years,Men,2008-10-01,250000,Goa
45 to 54 years,Men,2008-10-01,217000,Goa
55 to 64 years,Men,2008-10-01,158000,Goa
65 years and over,Men,2008-10-01,45000,Goa
16 to 19 years,Women,2008-10-01,48000,Goa
20 to 24 years,Women,2008-10-01,104000,Goa
25 to 34 years,Women,2008-10-01,222000,Goa
35 to 44 years,Women,2008-10-01,192000,Goa
45 to 54 years,Women,2008-10-01,243000,Goa
55 to 64 years,Women,2008-10-01,132000,Goa
65 years and over,Women,2008-10-01,146000,Goa
16 to 19 years,Men,2008-11-01,106000,Goa
20 to 24 years,Men,2008-11-01,152000,Goa
25 to 34 years,Men,2008-11-01,316000,Goa
35 to 44 years,Men,2008-11-01,206000,Goa
45 to 54 years,Men,2008-11-01,253000,Goa
55 to 64 years,Men,2008-11-01,171000,UP
65 years and over,Men,2008-11-01,57000,Goa
16 to 19 years,Women,2008-11-01,53000,Goa
20 to 24 years,Women,2008-11-01,106000,Goa
25 to 34 years,Women,2008-11-01,202000,Goa
35 to 44 years,Women,2008-11-01,203000,Goa
45 to 54 years,Women,2008-11-01,189000,Goa
55 to 64 years,Women,2008-11-01,156000,Goa
65 years and over,Women,2008-11-01,95000,Goa
16 to 19 years,Men,2008-12-01,109000,Goa
20 to 24 years,Men,2008-12-01,216000,Goa
25 to 34 years,Men,2008-12-01,323000,Goa
35 to 44 years,Men,2008-12-01,253000,Goa
45 to 54 years,Men,2008-12-01,318000,Goa
55 to 64 years,Men,2008-12-01,173000,Maharashtra
65 years and over,Men,2008-12-01,66000,Goa
16 to 19 years,Women,2008-12-01,83000,Goa
20 to 24 years,Women,2008-12-01,132000,Goa
25 to 34 years,Women,2008-12-01,165000,Goa
35 to 44 years,Women,2008-12-01,222000,Goa
45 to 54 years,Women,2008-12-01,246000,Goa
55 to 64 years,Women,2008-12-01,174000,Goa
65 years and over,Women,2008-12-01,109000,Goa
16 to 19 years,Men,2009-01-01,135000,Goa
20 to 24 years,Men,2009-01-01,234000,Goa
25 to 34 years,Men,2009-01-01,331000,Goa
35 to 44 years,Men,2009-01-01,279000,Goa
45 to 54 years,Men,2009-01-01,372000,Goa
55 to 64 years,Men,2009-01-01,179000,Goa
65 years and over,Men,2009-01-01,78000,Goa
16 to 19 years,Women,2009-01-01,86000,Goa
20 to 24 years,Women,2009-01-01,123000,MAharashtra
25 to 34 years,Women,2009-01-01,209000,Goa
35 to 44 years,Women,2009-01-01,272000,Goa
45 to 54 years,Women,2009-01-01,223000,Goa
55 to 64 years,Women,2009-01-01,186000,Goa
65 years and over,Women,2009-01-01,146000,Goa
16 to 19 years,Men,2009-02-01,198000,Goa
20 to 24 years,Men,2009-02-01,258000,Goa
25 to 34 years,Men,2009-02-01,363000,Goa
35 to 44 years,Men,2009-02-01,311000,Goa
45 to 54 years,Men,2009-02-01,438000,Goa
55 to 64 years,Men,2009-02-01,196000,Goa
65 years and over,Men,2009-02-01,100000,Goa
16 to 19 years,Women,2009-02-01,85000,Goa
20 to 24 years,Women,2009-02-01,178000,Goa
25 to 34 years,Women,2009-02-01,209000,Goa
35 to 44 years,Women,2009-02-01,293000,Goa
45 to 54 years,Women,2009-02-01,241000,UP
55 to 64 years,Women,2009-02-01,149000,MP
65 years and over,Women,2009-02-01,167000,UP
16 to 19 years,Men,2009-03-01,152000,MP
20 to 24 years,Men,2009-03-01,288000,UP
25 to 34 years,Men,2009-03-01,406000,UP
35 to 44 years,Men,2009-03-01,399000,Goa
45 to 54 years,Men,2009-03-01,461000,Goa
55 to 64 years,Men,2009-03-01,239000,Goa
65 years and over,Men,2009-03-01,80000,Goa
16 to 19 years,Women,2009-03-01,112000,UP
20 to 24 years,Women,2009-03-01,169000,Goa
25 to 34 years,Women,2009-03-01,242000,Goa
35 to 44 years,Women,2009-03-01,279000,Goa
45 to 54 years,Women,2009-03-01,282000,Goa
55 to 64 years,Women,2009-03-01,180000,Mumbai
65 years and over,Women,2009-03-01,160000,Goa
16 to 19 years,Men,2009-04-01,213000,Goa
20 to 24 years,Men,2009-04-01,366000,Goa
25 to 34 years,Men,2009-04-01,506000,Goa
35 to 44 years,Men,2009-04-01,485000,Goa
45 to 54 years,Men,2009-04-01,489000,Goa
55 to 64 years,Men,2009-04-01,269000,Goa
65 years and over,Men,2009-04-01,79000,Goa
16 to 19 years,Women,2009-04-01,121000,Goa
20 to 24 years,Women,2009-04-01,167000,Goa
25 to 34 years,Women,2009-04-01,318000,Goa
35 to 44 years,Women,2009-04-01,302000,Goa
45 to 54 years,Women,2009-04-01,325000,Goa
55 to 64 years,Women,2009-04-01,205000,Goa
65 years and over,Women,2009-04-01,145000,Goa
16 to 19 years,Men,2009-05-01,174000,Goa
20 to 24 years,Men,2009-05-01,366000,Goa
25 to 34 years,Men,2009-05-01,537000,Goa
35 to 44 years,Men,2009-05-01,450000,Delhi
45 to 54 years,Men,2009-05-01,479000,Goa
55 to 64 years,Men,2009-05-01,282000,Goa
65 years and over,Men,2009-05-01,87000,Goa
16 to 19 years,Women,2009-05-01,102000,Goa
20 to 24 years,Women,2009-05-01,212000,Goa
25 to 34 years,Women,2009-05-01,377000,Goa
35 to 44 years,Women,2009-05-01,297000,Goa
45 to 54 years,Women,2009-05-01,327000,Goa
55 to 64 years,Women,2009-05-01,214000,Goa
65 years and over,Women,2009-05-01,171000,Goa
16 to 19 years,Men,2009-06-01,207000,Goa
20 to 24 years,Men,2009-06-01,300000,Goa
25 to 34 years,Men,2009-06-01,553000,Goa
35 to 44 years,Men,2009-06-01,495000,Goa
45 to 54 years,Men,2009-06-01,488000,Goa
55 to 64 years,Men,2009-06-01,361000,Goa
65 years and over,Men,2009-06-01,107000,Goa
16 to 19 years,Women,2009-06-01,118000,Goa
20 to 24 years,Women,2009-06-01,212000,Goa
25 to 34 years,Women,2009-06-01,382000,Goa
35 to 44 years,Women,2009-06-01,355000,Goa
45 to 54 years,Women,2009-06-01,354000,Goa
55 to 64 years,Women,2009-06-01,231000,Goa
65 years and over,Women,2009-06-01,197000,Goa
16 to 19 years,Men,2009-07-01,192000,Goa
20 to 24 years,Men,2009-07-01,416000,Goa
25 to 34 years,Men,2009-07-01,730000,Mp
35 to 44 years,Men,2009-07-01,551000,Goa
45 to 54 years,Men,2009-07-01,552000,Goa
55 to 64 years,Men,2009-07-01,378000,Goa
65 years and over,Men,2009-07-01,109000,Goa
16 to 19 years,Women,2009-07-01,126000,Goa
20 to 24 years,Women,2009-07-01,277000,Goa
25 to 34 years,Women,2009-07-01,480000,Goa
35 to 44 years,Women,2009-07-01,409000,Goa
45 to 54 years,Women,2009-07-01,393000,Goa
55 to 64 years,Women,2009-07-01,261000,MP
65 years and over,Women,2009-07-01,210000,Goa
16 to 19 years,Men,2009-08-01,180000,Goa
20 to 24 years,Men,2009-08-01,360000,Goa
25 to 34 years,Men,2009-08-01,734000,Goa
35 to 44 years,Men,2009-08-01,574000,Goa
45 to 54 years,Men,2009-08-01,626000,Goa
55 to 64 years,Men,2009-08-01,379000,Goa
65 years and over,Men,2009-08-01,105000,Goa
16 to 19 years,Women,2009-08-01,94000,Goa
20 to 24 years,Women,2009-08-01,242000,Goa
25 to 34 years,Women,2009-08-01,492000,Goa
35 to 44 years,Women,2009-08-01,430000,Goa
45 to 54 years,Women,2009-08-01,464000,Goa
55 to 64 years,Women,2009-08-01,294000,Goa
65 years and over,Women,2009-08-01,196000,Goa
16 to 19 years,Men,2009-09-01,165000,Goa
20 to 24 years,Men,2009-09-01,395000,Goa
25 to 34 years,Men,2009-09-01,764000,Goa
35 to 44 years,Men,2009-09-01,635000,Goa
45 to 54 years,Men,2009-09-01,698000,Mumbai
55 to 64 years,Men,2009-09-01,376000,Mumbai
65 years and over,Men,2009-09-01,119000,Mumbai
16 to 19 years,Women,2009-09-01,99000,Mumbai
20 to 24 years,Women,2009-09-01,306000,Mumbai
25 to 34 years,Women,2009-09-01,510000,Mumbai
35 to 44 years,Women,2009-09-01,508000,Mumbai
45 to 54 years,Women,2009-09-01,498000,Mumbai
55 to 64 years,Women,2009-09-01,286000,Mumbai
65 years and over,Women,2009-09-01,210000,Mumbai
16 to 19 years,Men,2009-10-01,229000,Mumbai
20 to 24 years,Men,2009-10-01,400000,Mumbai
25 to 34 years,Men,2009-10-01,738000,Goa
35 to 44 years,Men,2009-10-01,647000,Goa
45 to 54 years,Men,2009-10-01,730000,Goa
55 to 64 years,Men,2009-10-01,390000,Goa
65 years and over,Men,2009-10-01,102000,Goa
16 to 19 years,Women,2009-10-01,118000,Goa
20 to 24 years,Women,2009-10-01,245000,Goa
25 to 34 years,Women,2009-10-01,550000,Goa
35 to 44 years,Women,2009-10-01,474000,Goa
45 to 54 years,Women,2009-10-01,510000,Goa
55 to 64 years,Women,2009-10-01,309000,Goa
65 years and over,Women,2009-10-01,188000,Goa
16 to 19 years,Men,2009-11-01,228000,Goa
20 to 24 years,Men,2009-11-01,425000,Goa
25 to 34 years,Men,2009-11-01,787000,Goa
35 to 44 years,Men,2009-11-01,668000,Goa
45 to 54 years,Men,2009-11-01,816000,Goa
55 to 64 years,Men,2009-11-01,468000,Goa
65 years and over,Men,2009-11-01,115000,Goa
16 to 19 years,Women,2009-11-01,113000,Goa
20 to 24 years,Women,2009-11-01,297000,Goa
25 to 34 years,Women,2009-11-01,481000,Goa
35 to 44 years,Women,2009-11-01,497000,Goa
45 to 54 years,Women,2009-11-01,513000,Goa
55 to 64 years,Women,2009-11-01,347000,Goa
65 years and over,Women,2009-11-01,184000,Goa
16 to 19 years,Men,2009-12-01,237000,Goa
20 to 24 years,Men,2009-12-01,428000,Goa
25 to 34 years,Men,2009-12-01,810000,Goa
35 to 44 years,Men,2009-12-01,699000,Goa
45 to 54 years,Men,2009-12-01,848000,Goa
55 to 64 years,Men,2009-12-01,471000,Goa
65 years and over,Men,2009-12-01,123000,Goa
16 to 19 years,Women,2009-12-01,136000,Goa
20 to 24 years,Women,2009-12-01,230000,Goa
25 to 34 years,Women,2009-12-01,463000,Goa
35 to 44 years,Women,2009-12-01,492000,Goa
45 to 54 years,Women,2009-12-01,535000,Goa
55 to 64 years,Women,2009-12-01,335000,Goa
65 years and over,Women,2009-12-01,186000,Goa
16 to 19 years,Men,2010-01-01,227000,Goa
20 to 24 years,Men,2010-01-01,542000,Goa
25 to 34 years,Men,2010-01-01,913000,Goa
35 to 44 years,Men,2010-01-01,733000,Delhi
45 to 54 years,Men,2010-01-01,897000,Delhi
55 to 64 years,Men,2010-01-01,549000,Delhi
65 years and over,Men,2010-01-01,136000,Delhi
16 to 19 years,Women,2010-01-01,134000,Delhi
20 to 24 years,Women,2010-01-01,244000,Delhi
25 to 34 years,Women,2010-01-01,535000,Delhi
35 to 44 years,Women,2010-01-01,483000,Delhi
45 to 54 years,Women,2010-01-01,588000,Delhi
55 to 64 years,Women,2010-01-01,347000,Delhi
65 years and over,Women,2010-01-01,195000,Delhi
16 to 19 years,Men,2010-02-01,228000,Goa
20 to 24 years,Men,2010-02-01,516000,Goa
25 to 34 years,Men,2010-02-01,951000,Goa
35 to 44 years,Men,2010-02-01,828000,Goa
45 to 54 years,Men,2010-02-01,821000,Goa
55 to 64 years,Men,2010-02-01,546000,Goa
65 years and over,Men,2010-02-01,144000,Goa
16 to 19 years,Women,2010-02-01,132000,Goa
20 to 24 years,Women,2010-02-01,231000,Goa
25 to 34 years,Women,2010-02-01,455000,Goa
35 to 44 years,Women,2010-02-01,471000,Goa
45 to 54 years,Women,2010-02-01,544000,Goa
55 to 64 years,Women,2010-02-01,344000,Goa
65 years and over,Women,2010-02-01,228000,Goa
16 to 19 years,Men,2010-03-01,286000,Goa
20 to 24 years,Men,2010-03-01,564000,Goa
25 to 34 years,Men,2010-03-01,999000,Goa
35 to 44 years,Men,2010-03-01,757000,Goa
45 to 54 years,Men,2010-03-01,927000,Goa
55 to 64 years,Men,2010-03-01,536000,Goa
65 years and over,Men,2010-03-01,132000,Goa
16 to 19 years,Women,2010-03-01,152000,Goa
20 to 24 years,Women,2010-03-01,245000,Goa
25 to 34 years,Women,2010-03-01,522000,Goa
35 to 44 years,Women,2010-03-01,565000,Goa
45 to 54 years,Women,2010-03-01,605000,Goa
55 to 64 years,Women,2010-03-01,323000,Goa
65 years and over,Women,2010-03-01,191000,Goa
16 to 19 years,Men,2010-04-01,296000,Goa
20 to 24 years,Men,2010-04-01,653000,Goa
25 to 34 years,Men,2010-04-01,956000,Goa
35 to 44 years,Men,2010-04-01,807000,Goa
45 to 54 years,Men,2010-04-01,931000,Goa
55 to 64 years,Men,2010-04-01,544000,Goa
65 years and over,Men,2010-04-01,151000,Goa
16 to 19 years,Women,2010-04-01,118000,Goa
20 to 24 years,Women,2010-04-01,314000,Goa
25 to 34 years,Women,2010-04-01,608000,Goa
35 to 44 years,Women,2010-04-01,578000,Goa
45 to 54 years,Women,2010-04-01,623000,Goa
55 to 64 years,Women,2010-04-01,364000,Goa
65 years and over,Women,2010-04-01,156000,Goa
16 to 19 years,Men,2010-05-01,240000,Goa
20 to 24 years,Men,2010-05-01,493000,Goa
25 to 34 years,Men,2010-05-01,1011000,Goa
35 to 44 years,Men,2010-05-01,704000,Goa
45 to 54 years,Men,2010-05-01,827000,Goa
55 to 64 years,Men,2010-05-01,553000,Goa
65 years and over,Men,2010-05-01,144000,Goa
16 to 19 years,Women,2010-05-01,159000,Goa
20 to 24 years,Women,2010-05-01,293000,Goa
25 to 34 years,Women,2010-05-01,631000,Goa
35 to 44 years,Women,2010-05-01,550000,Rajsthan
45 to 54 years,Women,2010-05-01,546000,Rajsthan
55 to 64 years,Women,2010-05-01,403000,Rajsthan
65 years and over,Women,2010-05-01,172000,Rajsthan
16 to 19 years,Men,2010-06-01,280000,Rajsthan
20 to 24 years,Men,2010-06-01,516000,Rajsthan
25 to 34 years,Men,2010-06-01,931000,Rajsthan
35 to 44 years,Men,2010-06-01,699000,Rajsthan
45 to 54 years,Men,2010-06-01,862000,Rajsthan
55 to 64 years,Men,2010-06-01,485000,Rajsthan
65 years and over,Men,2010-06-01,115000,Rajsthan
16 to 19 years,Women,2010-06-01,117000,Rajsthan
20 to 24 years,Women,2010-06-01,301000,Rajsthan
25 to 34 years,Women,2010-06-01,578000,Rajsthan
35 to 44 years,Women,2010-06-01,538000,Rajsthan
45 to 54 years,Women,2010-06-01,528000,Rajsthan
55 to 64 years,Women,2010-06-01,399000,Rajsthan
65 years and over,Women,2010-06-01,161000,Rajsthan
16 to 19 years,Men,2010-07-01,238000,Rajsthan
20 to 24 years,Men,2010-07-01,566000,Rajsthan
25 to 34 years,Men,2010-07-01,814000,Rajsthan
35 to 44 years,Men,2010-07-01,635000,Rajsthan
45 to 54 years,Men,2010-07-01,848000,Rajsthan
55 to 64 years,Men,2010-07-01,526000,Rajsthan
65 years and over,Men,2010-07-01,135000,Rajsthan
16 to 19 years,Women,2010-07-01,152000,Rajsthan
20 to 24 years,Women,2010-07-01,359000,Rajsthan
25 to 34 years,Women,2010-07-01,630000,Rajsthan
35 to 44 years,Women,2010-07-01,568000,Rajsthan
45 to 54 years,Women,2010-07-01,575000,Rajsthan
55 to 64 years,Women,2010-07-01,390000,Rajsthan
65 years and over,Women,2010-07-01,213000,Rajsthan
16 to 19 years,Men,2010-08-01,197000,Rajsthan
20 to 24 years,Men,2010-08-01,505000,Rajsthan
25 to 34 years,Men,2010-08-01,789000,Rajsthan
35 to 44 years,Men,2010-08-01,707000,Rajsthan
45 to 54 years,Men,2010-08-01,833000,Rajsthan
55 to 64 years,Men,2010-08-01,516000,Rajsthan
65 years and over,Men,2010-08-01,134000,Rajsthan
16 to 19 years,Women,2010-08-01,126000,Rajsthan
20 to 24 years,Women,2010-08-01,273000,Rajsthan
25 to 34 years,Women,2010-08-01,579000,Rajsthan
35 to 44 years,Women,2010-08-01,547000,Rajsthan
45 to 54 years,Women,2010-08-01,598000,Rajsthan
55 to 64 years,Women,2010-08-01,385000,Rajsthan
65 years and over,Women,2010-08-01,197000,Rajsthan
16 to 19 years,Men,2010-09-01,158000,Rajsthan
20 to 24 years,Men,2010-09-01,414000,Rajsthan
25 to 34 years,Men,2010-09-01,815000,Rajsthan
35 to 44 years,Men,2010-09-01,743000,Rajsthan
45 to 54 years,Men,2010-09-01,808000,Rajsthan
55 to 64 years,Men,2010-09-01,489000,Rajsthan
65 years and over,Men,2010-09-01,134000,Rajsthan
16 to 19 years,Women,2010-09-01,93000,Rajsthan
20 to 24 years,Women,2010-09-01,252000,Rajsthan
25 to 34 years,Women,2010-09-01,615000,Rajsthan
35 to 44 years,Women,2010-09-01,546000,Rajsthan
45 to 54 years,Women,2010-09-01,538000,Rajsthan
55 to 64 years,Women,2010-09-01,408000,Rajsthan
65 years and over,Women,2010-09-01,192000,Rajsthan
16 to 19 years,Men,2010-10-01,162000,Rajsthan
20 to 24 years,Men,2010-10-01,457000,Rajsthan
25 to 34 years,Men,2010-10-01,718000,Rajsthan
35 to 44 years,Men,2010-10-01,698000,Rajsthan
45 to 54 years,Men,2010-10-01,811000,Rajsthan
55 to 64 years,Men,2010-10-01,530000,Rajsthan
65 years and over,Men,2010-10-01,141000,Rajsthan
16 to 19 years,Women,2010-10-01,144000,Gujrat
20 to 24 years,Women,2010-10-01,315000,Gujrat
25 to 34 years,Women,2010-10-01,601000,Gujrat
35 to 44 years,Women,2010-10-01,485000,Gujrat
45 to 54 years,Women,2010-10-01,571000,Gujrat
55 to 64 years,Women,2010-10-01,374000,Gujrat
65 years and over,Women,2010-10-01,158000,Gujrat
16 to 19 years,Men,2010-11-01,149000,Gujrat
20 to 24 years,Men,2010-11-01,440000,Gujrat
25 to 34 years,Men,2010-11-01,739000,Gujrat
35 to 44 years,Men,2010-11-01,699000,Rajsthan
45 to 54 years,Men,2010-11-01,879000,Rajsthan
55 to 64 years,Men,2010-11-01,539000,Rajsthan
65 years and over,Men,2010-11-01,173000,Rajsthan
16 to 19 years,Women,2010-11-01,105000,Rajsthan
20 to 24 years,Women,2010-11-01,306000,Rajsthan
25 to 34 years,Women,2010-11-01,578000,Rajsthan
35 to 44 years,Women,2010-11-01,529000,Rajsthan
45 to 54 years,Women,2010-11-01,621000,Rajsthan
55 to 64 years,Women,2010-11-01,394000,Rajsthan
65 years and over,Women,2010-11-01,205000,Rajsthan
16 to 19 years,Men,2010-12-01,149000,Rajsthan
20 to 24 years,Men,2010-12-01,456000,Rajsthan
25 to 34 years,Men,2010-12-01,750000,Rajsthan
35 to 44 years,Men,2010-12-01,693000,Rajsthan
45 to 54 years,Men,2010-12-01,877000,Rajsthan
55 to 64 years,Men,2010-12-01,476000,Rajsthan
65 years and over,Men,2010-12-01,157000,Rajsthan
16 to 19 years,Women,2010-12-01,143000,Rajsthan
20 to 24 years,Women,2010-12-01,297000,Rajsthan
25 to 34 years,Women,2010-12-01,576000,Rajsthan
35 to 44 years,Women,2010-12-01,557000,Rajsthan
45 to 54 years,Women,2010-12-01,577000,Rajsthan
55 to 64 years,Women,2010-12-01,378000,Rajsthan
65 years and over,Women,2010-12-01,182000,Punjab
16 to 19 years,Men,2011-01-01,204000,Punjab
20 to 24 years,Men,2011-01-01,507000,Punjab
25 to 34 years,Men,2011-01-01,803000,Punjab
35 to 44 years,Men,2011-01-01,704000,Punjab
45 to 54 years,Men,2011-01-01,788000,Punjab
55 to 64 years,Men,2011-01-01,509000,Punjab
65 years and over,Men,2011-01-01,152000,Punjab
16 to 19 years,Women,2011-01-01,148000,Punjab
20 to 24 years,Women,2011-01-01,348000,Punjab
25 to 34 years,Women,2011-01-01,525000,Punjab
35 to 44 years,Women,2011-01-01,530000,Punjab
45 to 54 years,Women,2011-01-01,630000,Punjab
55 to 64 years,Women,2011-01-01,355000,Punjab
65 years and over,Women,2011-01-01,205000,Punjab
16 to 19 years,Men,2011-02-01,196000,Punjab
20 to 24 years,Men,2011-02-01,460000,Punjab
25 to 34 years,Men,2011-02-01,812000,Punjab
35 to 44 years,Men,2011-02-01,648000,Punjab
45 to 54 years,Men,2011-02-01,752000,Punjab
55 to 64 years,Men,2011-02-01,503000,Punjab
65 years and over,Men,2011-02-01,145000,Punjab
16 to 19 years,Women,2011-02-01,99000,Punjab
20 to 24 years,Women,2011-02-01,371000,Punjab
25 to 34 years,Women,2011-02-01,542000,Punjab
35 to 44 years,Women,2011-02-01,520000,Punjab
45 to 54 years,Women,2011-02-01,608000,Punjab
55 to 64 years,Women,2011-02-01,318000,Punjab
65 years and over,Women,2011-02-01,190000,Punjab
16 to 19 years,Men,2011-03-01,205000,Punjab
20 to 24 years,Men,2011-03-01,510000,Punjab
25 to 34 years,Men,2011-03-01,849000,Punjab
35 to 44 years,Men,2011-03-01,709000,Punjab
45 to 54 years,Men,2011-03-01,784000,Punjab
55 to 64 years,Men,2011-03-01,533000,Punjab
65 years and over,Men,2011-03-01,140000,Punjab
16 to 19 years,Women,2011-03-01,134000,Punjab
20 to 24 years,Women,2011-03-01,329000,Punjab
25 to 34 years,Women,2011-03-01,514000,Punjab
35 to 44 years,Women,2011-03-01,514000,Punjab
45 to 54 years,Women,2011-03-01,589000,Punjab
55 to 64 years,Women,2011-03-01,362000,Punjab
65 years and over,Women,2011-03-01,175000,Punjab
16 to 19 years,Men,2011-04-01,241000,Punjab
20 to 24 years,Men,2011-04-01,481000,Punjab
25 to 34 years,Men,2011-04-01,866000,Punjab
35 to 44 years,Men,2011-04-01,641000,Punjab
45 to 54 years,Men,2011-04-01,710000,Punjab
55 to 64 years,Men,2011-04-01,491000,Punjab
65 years and over,Men,2011-04-01,137000,Punjab
16 to 19 years,Women,2011-04-01,115000,Punjab
20 to 24 years,Women,2011-04-01,324000,Punjab
25 to 34 years,Women,2011-04-01,571000,Punjab
35 to 44 years,Women,2011-04-01,505000,UP
45 to 54 years,Women,2011-04-01,578000,Punjab
55 to 64 years,Women,2011-04-01,355000,Punjab
65 years and over,Women,2011-04-01,161000,Punjab
16 to 19 years,Men,2011-05-01,196000,Punjab
20 to 24 years,Men,2011-05-01,455000,Punjab
25 to 34 years,Men,2011-05-01,857000,Punjab
35 to 44 years,Men,2011-05-01,602000,Punjab
45 to 54 years,Men,2011-05-01,779000,Punjab
55 to 64 years,Men,2011-05-01,496000,Punjab
65 years and over,Men,2011-05-01,148000,Punjab
16 to 19 years,Women,2011-05-01,162000,Punjab
20 to 24 years,Women,2011-05-01,354000,Punjab
25 to 34 years,Women,2011-05-01,559000,Punjab
35 to 44 years,Women,2011-05-01,485000,Punjab
45 to 54 years,Women,2011-05-01,588000,Punjab
55 to 64 years,Women,2011-05-01,382000,Punjab
65 years and over,Women,2011-05-01,184000,Punjab
16 to 19 years,Men,2011-06-01,180000,Punjab
20 to 24 years,Men,2011-06-01,451000,Punjab
25 to 34 years,Men,2011-06-01,749000,Punjab
35 to 44 years,Men,2011-06-01,693000,Punjab
45 to 54 years,Men,2011-06-01,685000,Punjab
55 to 64 years,Men,2011-06-01,505000,Punjab
65 years and over,Men,2011-06-01,148000,Punjab
16 to 19 years,Women,2011-06-01,151000,Punjab
20 to 24 years,Women,2011-06-01,297000,Punjab
25 to 34 years,Women,2011-06-01,599000,Punjab
35 to 44 years,Women,2011-06-01,528000,Punjab
45 to 54 years,Women,2011-06-01,596000,Punjab
55 to 64 years,Women,2011-06-01,388000,Punjab
65 years and over,Women,2011-06-01,166000,Punjab
16 to 19 years,Men,2011-07-01,164000,Punjab
20 to 24 years,Men,2011-07-01,423000,Punjab
25 to 34 years,Men,2011-07-01,761000,Punjab
35 to 44 years,Men,2011-07-01,600000,Punjab
45 to 54 years,Men,2011-07-01,757000,Punjab
55 to 64 years,Men,2011-07-01,524000,Punjab
65 years and over,Men,2011-07-01,159000,Punjab
16 to 19 years,Women,2011-07-01,171000,Punjab
20 to 24 years,Women,2011-07-01,312000,Punjab
25 to 34 years,Women,2011-07-01,688000,Punjab
35 to 44 years,Women,2011-07-01,543000,Punjab
45 to 54 years,Women,2011-07-01,596000,Punjab
55 to 64 years,Women,2011-07-01,403000,Punjab
65 years and over,Women,2011-07-01,219000,Punjab
